"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","4116R-1-511LF-ND","4116R-1-511LF","RES ARRAY 8 RES 510 OHM 16DIP","","2","0","1.66000","3.32"
"2","1","360-2300-ND","SB4011NOH","SWITCH PUSH SPST-NO 3A 125V","","1","0","5.51000","5.51"
"3","1","AE10087-ND","AK-SATA-PC-015","CABLE PWR SUPPLY 15-4 POS .15M","","1","0","3.14000","3.14"
"4","4","445-180204-ND","FG18X7R1E105KRT00","CAP CER 1UF 25V X7R RADIAL","","4","0","0.35000","1.40"
"5","2","360-2893-ND","S1A","SWITCH TOGGLE SPST 15A 125V","","2","0","7.12000","14.24"
"6","16","516-HLMP-C423-ND","HLMP-C423","LED ORANGE CLEAR T-1 3/4 T/H","","16","0","0.48100","7.70"
"7","3","296-14260-5-ND","CD4026BE","IC COUNTER/DIVIDR DECADE 16-DIP","","3","0","0.56000","1.68"
"8","3","445-175346-ND","CK45-E3DD103ZYGNA","CAP CER 10000PF 2KV RADIAL","","3","0","0.61000","1.83"
"9","6","445-173275-1-ND","FG18X7R1H473KNT06","CAP CER 0.047UF 50V X7R RADIAL","","6","0","0.22000","1.32"
